serial_number,time_stamp,1 year,2 year,3 year,4 year,5 year,6 year,7 year,8 year,9 year,10 year,15 year,20 year,25 year,30 year
119,2006-04-26,0.31,0.65,0.936,1.185,1.393,1.565,1.713,1.825,1.903,1.928,2.132,2.26,2.416,2.478
120,2006-04-25,0.309,0.618,0.891,1.138,1.348,1.521,1.674,1.79,1.876,1.901,2.119,2.251,2.403,2.466
121,2006-04-24,0.317,0.627,0.896,1.138,1.347,1.511,1.661,1.776,1.861,1.882,2.114,2.249,2.395,2.457
122,2006-04-21,0.312,0.625,0.904,1.15,1.364,1.532,1.682,1.798,1.878,1.9,2.126,2.26,2.405,2.468
123,2006-04-20,0.31,0.624,0.907,1.157,1.372,1.541,1.694,1.808,1.88,1.895,2.112,2.238,2.386,2.449
124,2006-04-19,0.309,0.628,0.902,1.153,1.363,1.528,1.678,1.789,1.863,1.877,2.102,2.23,2.378,2.441
125,2006-04-18,0.317,0.643,0.931,1.192,1.405,1.576,1.734,1.849,1.928,1.951,2.177,2.315,2.477,2.548
126,2006-04-17,0.324,0.642,0.931,1.184,1.388,1.561,1.72,1.837,1.919,1.947,2.184,2.336,2.502,2.577
127,2006-04-14,0.325,0.67,0.952,1.203,1.409,1.577,1.733,1.846,1.922,1.952,2.169,2.318,2.492,2.571
128,2006-04-13,0.322,0.664,0.947,1.189,1.389,1.548,1.697,1.807,1.886,1.916,2.134,2.286,2.463,2.544
129,2006-04-12,0.319,0.658,0.941,1.175,1.365,1.524,1.67,1.775,1.846,1.877,2.091,2.238,2.414,2.496
130,2006-04-11,0.317,0.667,0.95,1.186,1.368,1.522,1.668,1.774,1.843,1.877,2.086,2.232,2.403,2.486
131,2006-04-10,0.321,0.671,0.96,1.198,1.378,1.527,1.67,1.773,1.839,1.872,2.069,2.213,2.376,2.45
132,2006-04-07,0.316,0.667,0.961,1.206,1.385,1.537,1.678,1.778,1.839,1.867,2.056,2.201,2.355,2.425
133,2006-04-06,0.304,0.646,0.929,1.174,1.351,1.511,1.661,1.762,1.825,1.857,2.047,2.204,2.354,2.425
134,2006-04-05,0.291,0.625,0.9,1.13,1.302,1.461,1.605,1.717,1.792,1.834,2.021,2.178,2.318,2.389
135,2006-04-04,0.298,0.646,0.928,1.155,1.324,1.479,1.616,1.726,1.791,1.834,1.997,2.144,2.275,2.343
136,2006-04-03,0.32,0.688,0.965,1.191,1.363,1.509,1.639,1.742,1.801,1.826,1.985,2.118,2.245,2.313
137,2006-03-31,0.301,0.667,0.92,1.137,1.303,1.446,1.575,1.673,1.732,1.754,1.916,2.048,2.178,2.247
138,2006-03-30,0.298,0.666,0.915,1.136,1.307,1.456,1.589,1.692,1.747,1.764,1.929,2.058,2.189,2.254
139,2006-03-29,0.28,0.627,0.887,1.117,1.294,1.455,1.598,1.698,1.749,1.765,1.937,2.067,2.197,2.263
140,2006-03-28,0.256,0.576,0.81,1.03,1.208,1.365,1.508,1.61,1.674,1.693,1.875,2.018,2.159,2.227
141,2006-03-27,0.253,0.569,0.799,1.019,1.197,1.355,1.494,1.596,1.66,1.681,1.861,2.005,2.149,2.218
142,2006-03-24,0.258,0.588,0.821,1.048,1.23,1.386,1.528,1.629,1.693,1.718,1.893,2.04,2.184,2.253
143,2006-03-23,0.256,0.586,0.817,1.043,1.219,1.372,1.513,1.61,1.676,1.705,1.898,2.052,2.194,2.263
144,2006-03-22,0.254,0.581,0.816,1.047,1.229,1.387,1.531,1.623,1.689,1.718,1.916,2.074,2.217,2.284
145,2006-03-20,0.24,0.554,0.795,1.025,1.207,1.371,1.516,1.619,1.687,1.721,1.925,2.087,2.238,2.306
146,2006-03-17,0.245,0.547,0.784,1.005,1.184,1.342,1.489,1.595,1.67,1.702,1.92,2.087,2.239,2.311
147,2006-03-16,0.243,0.551,0.79,1.012,1.192,1.348,1.492,1.601,1.673,1.708,1.926,2.096,2.253,2.324
148,2006-03-15,0.25,0.56,0.809,1.032,1.216,1.369,1.511,1.615,1.675,1.707,1.918,2.088,2.253,2.325
149,2006-03-14,0.24,0.535,0.778,0.998,1.178,1.33,1.468,1.57,1.632,1.664,1.877,2.057,2.214,2.293
150,2006-03-13,0.235,0.515,0.76,0.989,1.176,1.335,1.475,1.579,1.641,1.678,1.89,2.065,2.224,2.301
151,2006-03-10,0.202,0.471,0.694,0.918,1.106,1.267,1.415,1.527,1.603,1.644,1.858,2.035,2.196,2.275
152,2006-03-09,0.2,0.471,0.68,0.894,1.07,1.221,1.367,1.479,1.556,1.595,1.812,1.989,2.14,2.221
153,2006-03-08,0.208,0.476,0.689,0.902,1.072,1.225,1.372,1.484,1.558,1.596,1.812,1.985,2.14,2.221
154,2006-03-07,0.217,0.509,0.732,0.952,1.115,1.274,1.418,1.531,1.598,1.629,1.842,2.01,2.183,2.263
155,2006-03-06,0.215,0.518,0.741,0.959,1.118,1.272,1.404,1.513,1.584,1.616,1.838,2.011,2.186,2.267
156,2006-03-03,0.189,0.492,0.726,0.947,1.098,1.251,1.379,1.491,1.565,1.603,1.829,2.009,2.177,2.264
157,2006-03-02,0.184,0.483,0.736,0.958,1.11,1.266,1.402,1.514,1.59,1.633,1.865,2.043,2.2,2.29
158,2006-03-01,0.183,0.485,0.748,0.967,1.119,1.265,1.393,1.497,1.564,1.602,1.834,2.007,2.16,2.254
159,2006-02-28,0.181,0.479,0.738,0.952,1.104,1.251,1.379,1.487,1.55,1.586,1.819,1.997,2.143,2.237
160,2006-02-27,0.18,0.482,0.742,0.956,1.109,1.26,1.391,1.5,1.563,1.601,1.839,2.017,2.161,2.253
161,2006-02-24,0.176,0.479,0.74,0.959,1.122,1.274,1.41,1.509,1.565,1.6,1.833,2.009,2.151,2.248
162,2006-02-23,0.153,0.406,0.645,0.865,1.032,1.197,1.343,1.446,1.518,1.563,1.814,2.003,2.149,2.248
163,2006-02-22,0.152,0.395,0.628,0.84,1.003,1.161,1.297,1.405,1.483,1.53,1.782,1.978,2.12,2.223
164,2006-02-21,0.151,0.41,0.631,0.835,1.004,1.152,1.282,1.395,1.479,1.531,1.785,1.982,2.102,2.207
165,2006-02-20,0.15,0.414,0.642,0.854,1.031,1.175,1.305,1.409,1.482,1.521,1.767,1.958,2.071,2.18
166,2006-02-17,0.157,0.422,0.647,0.864,1.042,1.189,1.318,1.424,1.492,1.53,1.766,1.946,2.059,2.171
167,2006-02-16,0.146,0.401,0.624,0.847,1.038,1.196,1.336,1.451,1.52,1.559,1.8,1.981,2.117,2.232
168,2006-02-15,0.153,0.406,0.639,0.868,1.063,1.227,1.367,1.479,1.54,1.576,1.82,1.995,2.134,2.251
169,2006-02-14,0.144,0.394,0.63,0.859,1.054,1.224,1.376,1.492,1.557,1.594,1.848,2.031,2.187,2.301
170,2006-02-13,0.133,0.383,0.619,0.843,1.033,1.195,1.339,1.455,1.519,1.56,1.817,2.01,2.17,2.285
171,2006-02-10,0.12,0.361,0.604,0.843,1.041,1.216,1.377,1.491,1.557,1.597,1.862,2.061,2.23,2.341
172,2006-02-09,0.102,0.321,0.542,0.778,0.973,1.142,1.304,1.427,1.511,1.56,1.836,2.049,2.218,2.332
173,2006-02-08,0.101,0.32,0.544,0.786,0.982,1.151,1.313,1.436,1.521,1.57,1.839,2.048,2.21,2.325
174,2006-02-07,0.091,0.306,0.529,0.765,0.963,1.137,1.307,1.43,1.52,1.573,1.826,2.036,2.202,2.318
175,2006-02-06,0.09,0.296,0.52,0.75,0.948,1.122,1.287,1.415,1.506,1.559,1.813,2.027,2.212,2.326
176,2006-02-03,0.098,0.309,0.535,0.767,0.964,1.141,1.305,1.434,1.528,1.582,1.844,2.065,2.261,2.374
177,2006-02-02,0.098,0.303,0.52,0.743,0.934,1.11,1.27,1.401,1.494,1.549,1.812,2.035,2.235,2.35
178,2006-02-01,0.09,0.293,0.504,0.725,0.914,1.088,1.247,1.381,1.477,1.539,1.802,2.031,2.24,2.353
179,2006-01-31,0.096,0.302,0.514,0.735,0.923,1.1,1.259,1.394,1.49,1.555,1.823,2.052,2.27,2.381
180,2006-01-30,0.099,0.307,0.508,0.726,0.913,1.088,1.245,1.384,1.481,1.55,1.82,2.053,2.268,2.381
181,2006-01-27,0.094,0.296,0.493,0.712,0.897,1.071,1.23,1.368,1.461,1.536,1.805,2.043,2.255,2.371
182,2006-01-26,0.082,0.271,0.468,0.685,0.871,1.04,1.2,1.334,1.428,1.502,1.774,2.017,2.232,2.349
183,2006-01-25,0.071,0.249,0.437,0.646,0.827,0.989,1.144,1.276,1.377,1.456,1.735,1.989,2.202,2.321
184,2006-01-24,0.071,0.244,0.43,0.631,0.805,0.97,1.126,1.258,1.358,1.439,1.721,1.981,2.196,2.317
185,2006-01-23,0.071,0.243,0.431,0.63,0.8,0.964,1.121,1.254,1.358,1.438,1.726,1.985,2.201,2.324
186,2006-01-20,0.08,0.252,0.444,0.651,0.826,0.991,1.153,1.285,1.39,1.471,1.759,2.014,2.226,2.348
187,2006-01-19,0.07,0.252,0.448,0.653,0.83,0.991,1.152,1.286,1.394,1.474,1.753,2.006,2.22,2.34
188,2006-01-18,0.079,0.241,0.437,0.628,0.8,0.953,1.11,1.243,1.351,1.431,1.714,1.971,2.198,2.322
189,2006-01-17,0.079,0.251,0.44,0.631,0.803,0.952,1.109,1.243,1.346,1.423,1.7,1.959,2.187,2.308
190,2006-01-16,0.08,0.26,0.455,0.662,0.836,0.986,1.143,1.276,1.374,1.451,1.72,1.975,2.203,2.32
191,2006-01-13,0.08,0.258,0.454,0.657,0.831,0.979,1.131,1.265,1.364,1.441,1.703,1.958,2.184,2.302
192,2006-01-12,0.08,0.262,0.453,0.658,0.826,0.974,1.127,1.26,1.358,1.436,1.691,1.945,2.168,2.286
193,2006-01-11,0.087,0.267,0.464,0.664,0.834,0.988,1.141,1.273,1.375,1.453,1.722,1.985,2.202,2.32
194,2006-01-10,0.086,0.262,0.449,0.636,0.799,0.951,1.101,1.237,1.346,1.429,1.701,1.967,2.179,2.297
195,2006-01-06,0.09,0.27,0.455,0.644,0.809,0.966,1.115,1.253,1.365,1.445,1.724,1.992,2.196,2.315
196,2006-01-05,0.085,0.269,0.455,0.638,0.803,0.955,1.106,1.238,1.353,1.431,1.703,1.967,2.164,2.285
197,2006-01-04,0.09,0.275,0.466,0.654,0.827,0.98,1.133,1.266,1.375,1.446,1.708,1.967,2.162,2.283
198,2005-12-30,0.09,0.281,0.477,0.682,0.854,1.019,1.171,1.303,1.407,1.473,1.731,1.989,2.187,2.306
199,2005-12-29,0.093,0.283,0.49,0.705,0.884,1.049,1.202,1.336,1.439,1.504,1.759,2.014,2.217,2.338
200,2005-12-28,0.092,0.282,0.487,0.702,0.886,1.054,1.212,1.349,1.454,1.52,1.772,2.028,2.236,2.358
201,2005-12-27,0.09,0.277,0.472,0.685,0.869,1.03,1.186,1.32,1.425,1.49,1.743,2.001,2.209,2.334
202,2005-12-26,0.092,0.281,0.486,0.708,0.901,1.07,1.231,1.365,1.464,1.523,1.772,2.027,2.24,2.365
203,2005-12-22,0.091,0.275,0.477,0.706,0.906,1.076,1.242,1.377,1.481,1.546,1.79,2.044,2.264,2.388
204,2005-12-21,0.09,0.27,0.466,0.695,0.899,1.069,1.237,1.373,1.476,1.541,1.79,2.043,2.266,2.39
205,2005-12-20,0.09,0.258,0.449,0.669,0.874,1.043,1.212,1.348,1.45,1.518,1.777,2.032,2.26,2.383
206,2005-12-19,0.079,0.253,0.448,0.668,0.873,1.048,1.217,1.352,1.458,1.522,1.79,2.047,2.273,2.398
207,2005-12-16,0.087,0.251,0.44,0.658,0.857,1.031,1.201,1.336,1.444,1.514,1.783,2.044,2.272,2.396
208,2005-12-15,0.086,0.24,0.43,0.635,0.828,1.002,1.172,1.308,1.419,1.496,1.766,2.033,2.267,2.39
209,2005-12-14,0.088,0.249,0.45,0.657,0.854,1.034,1.206,1.341,1.449,1.523,1.79,2.057,2.285,2.406
210,2005-12-13,0.095,0.264,0.469,0.697,0.896,1.076,1.244,1.379,1.485,1.557,1.822,2.087,2.308,2.427
211,2005-12-12,0.094,0.264,0.472,0.704,0.904,1.091,1.262,1.397,1.5,1.576,1.842,2.121,2.334,2.451
212,2005-12-09,0.086,0.251,0.441,0.661,0.858,1.043,1.212,1.352,1.459,1.538,1.805,2.09,2.3,2.42
213,2005-12-08,0.085,0.247,0.43,0.643,0.835,1.011,1.177,1.323,1.429,1.509,1.773,2.055,2.262,2.384
